country_name,country_code,WGI - VoiceandAccountability,WGI - Political StabilityNoViolence,WGI - GovernmentEffectiveness,WGI - RegulatoryQuality,WGI - RuleofLaw,WGI - ControlofCorruption
Aruba,ABW,1.2941887378692627,1.3573716878890991,1.0299327373504639,0.8573601245880127,1.2631280422210693,1.2172383069992065
Andorra,ADO,1.1391539573669434,1.6151394844055176,1.9087485074996948,1.228176474571228,1.5799388885498047,1.2343919277191162
Afghanistan,AFG,-0.98803228139877319,-2.6494066715240479,-1.4638749361038208,-1.1205554008483887,-1.7135269641876221,-1.4010756015777588
Angola,AGO,-0.7772831916809082,-0.3111005425453186,-1.1171437501907349,-0.89387136697769165,-1.0543431043624878,-1.0546833276748657
Albania,ALB,0.15180465579032898,0.11856954544782639,-6.1330899596214294E-2,0.27437981963157654,-0.41117939352989197,-0.52875757217407227
United Arab Emirates,ARE,-1.1220358610153198,0.70349431037902832,1.3772208690643311,0.97932523488998413,0.84021884202957153,1.106342077255249
Argentina,ARG,0.60043489933013916,-0.11997848749160767,-8.6485885083675385E-2,-0.49275258183479309,-0.43072563409805298,-7.1071356534957886E-2
Armenia,ARM,5.004274845123291E-2,-0.50641065835952759,-6.6817373037338257E-2,0.24951532483100891,-0.13127575814723969,-0.18416833877563477
Antigua and Barbuda,ATG,0.76044356822967529,0.95970898866653442,-3.8697037380188704E-3,0.48537468910217285,0.4052046537399292,0.27789819240570068
Australia,AUS,1.3151254653930664,1.0865033864974976,1.5718960762023926,1.8735394477844238,1.7341445684432983,1.8111071586608887
Austria,AUT,1.3265985250473022,0.98012268543243408,1.4909114837646484,1.4591155052185059,1.8830512762069702,1.5454288721084595
Azerbaijan,AZE,-1.4917879104614258,-0.68113100528717041,-0.13917681574821472,-0.22664128243923187,-0.57727032899856567,-0.86840724945068359
Burundi,BDI,-1.7082036733627319,-1.6490296125411987,-1.3263216018676758,-0.94953888654708862,-1.431904673576355,-1.4584697484970093
Belgium,BEL,1.3691196441650391,0.48118621110916138,1.0322270393371582,1.2909990549087524,1.3637149333953857,1.5519605875015259
Benin,BEN,9.2065192759037018E-2,-0.3478640615940094,-0.44065171480178833,-0.37596467137336731,-0.66412585973739624,-0.32376387715339661
Burkina Faso,BFA,-0.18009068071842194,-1.1886175870895386,-0.75851088762283325,-0.37649202346801758,-0.42625910043716431,-0.18865616619586945
Bangladesh,BGD,-0.72177541255950928,-0.91817349195480347,-0.73923009634017944,-0.92895430326461792,-0.63630837202072144,-0.99380964040756226
Bulgaria,BGR,0.3849186897277832,0.54012173414230347,0.33900025486946106,0.53167861700057983,3.5896573215723038E-2,-0.15519021451473236
Bahrain,BHR,-1.4125843048095703,-0.66151797771453857,0.29876098036766052,0.48509851098060608,0.49437779188156128,-1.0218021459877491E-2
"Bahamas, The",BHS,0.93426394462585449,0.82947945594787598,0.48609626293182373,-4.8303782939910889E-2,7.6531879603862762E-2,1.1846281290054321
Bosnia and Herzegovina,BIH,-0.19928631186485291,-0.40043973922729492,-0.63427704572677612,-0.19400231540203094,-0.23354159295558929,-0.61314517259597778
Belarus,BLR,-1.4025019407272339,0.28913021087646484,-0.18333275616168976,-0.5437806248664856,-0.79445779323577881,-5.9538982808589935E-2
Belize,BLZ,0.53171437978744507,6.9815292954444885E-2,-0.67670142650604248,-0.54425686597824097,-0.7755124568939209,-0.19602280855178833
Bolivia,BOL,-9.1236084699630737E-2,-0.61535465717315674,-0.69921797513961792,-0.99340617656707764,-1.1213886737823486,-0.74218934774398804
Brazil,BRA,0.34442514181137085,-0.54648113250732422,-0.18673795461654663,-0.17779399454593658,-0.18090397119522095,-0.33399847149848938
Barbados,BRB,1.1318668127059937,0.94173365831375122,0.63142502307891846,0.41230100393295288,0.35702922940254211,1.2617092132568359
Brunei Darussalam,BRN,-0.94895392656326294,1.1722456216812134,1.3183088302612305,0.63445532321929932,0.61426669359207153,0.80188637971878052
Bhutan,BTN,9.8764874041080475E-2,1.0925052165985107,0.31376519799232483,-0.32665666937828064,0.58970773220062256,1.6179190874099731
South Sudan,SSD,-1.9748085737228394,-2.5589020252227783,-2.4515552520751953,-2.0489647388458252,-1.9697244167327881,-1.7737241983413696
Botswana,BWA,0.52603143453598022,1.0112968683242798,0.42904797196388245,0.37009638547897339,0.49843922257423401,0.70781558752059937
Central African Republic,CAF,-1.201646089553833,-2.1829676628112793,-1.7472009658813477,-1.3728123903274536,-1.7283856868743896,-1.2284399271011353
