year,country_code,country_name,Populated aged 0 - 20,Populated aged 20 - 40,Populated aged 40 - 60,Populated aged 60 - 80,Populated aged 80 - +
2019,ABW,Aruba,0.24470887028501553,0.24392813470040448,0.30075251622613114,0.1867839337785721,0.023826545009876774
2019,AFG,Afghanistan,0.5435176140786557,0.2933752770672501,0.12145253963953348,0.038892157373278,0.002762411841282725
2019,AGO,Angola,0.5728098893901987,0.2735306273163372,0.11741665019392276,0.033555474215654656,0.002687358883886684
2019,ALB,Albania,0.24618087793734825,0.29823767864087536,0.2508053072850791,0.17632147824776906,0.028454657888928207
2019,AND,Andorra,NA,NA,NA,NA,NA
2019,ARB,Arab World,0.41326601152650766,0.3264935686406353,0.18798365228806793,0.06490004709955605,0.007356720445233079
2019,ARE,United Arab Emirates,0.18847081518436162,0.5345336576556882,0.24900757646005958,0.026783204916500915,0.0012047457833897581
2019,ARG,Argentina,0.32472463772824445,0.2988706462395259,0.222462665761048,0.1275688849895532,0.026373165281628363
2019,ARM,Armenia,0.264698106113882,0.3128245734563827,0.24336348710902422,0.14711731437103073,0.031996518949680294
2019,ASM,American Samoa,NA,NA,NA,NA,NA
2019,ATG,Antigua and Barbuda,0.29341502342583536,0.29795603150903566,0.2725016732739536,0.1191371054934871,0.01699016629768831
2019,AUS,Australia,0.25233367902267556,0.2802766818333168,0.2529936636586464,0.1735364965866167,0.04085947889874461
2019,AUT,Austria,0.19431600543113184,0.26230335261016513,0.29017016713106664,0.1999170712969502,0.05329340353068615
2019,AZE,Azerbaijan,0.2984175228874202,0.3374895404000924,0.25335864386922796,0.09711067643334925,0.013623616409910173
2019,BDI,Burundi,0.5558253502838584,0.3010550989772671,0.1030868620017888,0.03717845169413465,0.002854237042951103
2019,BEL,Belgium,0.22567946608746392,0.2507875536786642,0.2709034255237984,0.19554186718466643,0.05708768752540706
2019,BEN,Benin,0.5285969987164811,0.2872908752714036,0.13367399501963834,0.04609219897279511,0.004345932019681809
2019,BFA,Burkina Faso,0.5565945979168839,0.28314308135425625,0.12125405047481266,0.0366113861443387,0.002396884109708478
2019,BGD,Bangladesh,0.36813377266904046,0.3420938953729422,0.21235413946578074,0.0672054650045116,0.010212727487724949
2019,BGR,Bulgaria,0.1906264250241443,0.24227815209785775,0.28697006304260225,0.23269252851195116,0.047432831323444516
2019,BHR,Bahrain,0.2392291582757879,0.47729390123003934,0.2323986529097892,0.04763317809826788,0.0034451094861156725
2019,BHS,"Bahamas, The",0.3044268600155076,0.3092717068135954,0.26899298049223846,0.1048997910066087,0.01240866167204983
2019,BIH,Bosnia and Herzegovina,0.19933547369613674,0.265961385011442,0.289961399552499,0.2084248460617062,0.0363168956782161
2019,BLR,Belarus,0.2163138313217806,0.28113563935883873,0.28070167614706926,0.18235129911299278,0.03949755405931864
2019,BLZ,Belize,0.39926117776052833,0.3384543654300873,0.18830232278129172,0.06341728341928163,0.010564850608811044
2019,BMU,Bermuda,NA,NA,NA,NA,NA
2019,BOL,Bolivia,0.4043776386242387,0.31425900682544117,0.1795015800259565,0.08506534555152903,0.016796428972834603
2019,BRA,Brazil,0.2881847600894082,0.3251255171067222,0.25079197171731055,0.11700228039846895,0.01889547068809003
2019,BRB,Barbados,0.23687465377097844,0.2606290132080928,0.2770912232902819,0.18117141254472668,0.04423369718592019
2019,BRN,Brunei Darussalam,0.3053169441533924,0.33907462369661245,0.2659487553485624,0.08185666083536813,0.007803015966064612
2019,BTN,Bhutan,0.3460543524126779,0.37841602738325814,0.18764660710213946,0.07532623765879433,0.012556775443130204
2019,BWA,Botswana,0.4333701002255933,0.3288518528647139,0.16906866900811432,0.06359760785135932,0.005111770050219147
2019,CAF,Central African Republic,0.5614968371056182,0.27464949162086405,0.1190456671919015,0.04137736426802867,0.0034306398135876435
2019,CAN,Canada,0.21208080123885628,0.2757285430861983,0.26884469884381784,0.1998085886601749,0.043537368170952634
2019,CEB,Central Europe and the Baltics,0.1995746276121363,0.2628583607962825,0.2786598054755757,0.21244375573488317,0.04646345038112234
2019,CHE,Switzerland,0.19920732635964625,0.2628767193895198,0.2894684979456069,0.19622841557863635,0.052219040726590685
2019,CHI,Channel Islands,0.20510379417638044,0.26272465518042076,0.2958888682487345,0.18811243208099196,0.04817025031347234
2019,CHL,Chile,0.261533392060536,0.3112600836796682,0.2577749566207534,0.1418151137859338,0.02761645385310865
2019,CHN,China,0.23580930859595173,0.2904185507843741,0.3053633521101488,0.15017283555648123,0.01823595295304411
2019,CIV,Cote d'Ivoire,0.5278747386993572,0.29526107432934423,0.13014586017889027,0.04389994675023621,0.002818380042172071
2019,CMR,Cameroon,0.5306441580090944,0.2991250245783955,0.12727566571898144,0.03995314801326182,0.0030020036802669184
2019,COD,"Congo, Dem. Rep.",0.5649829714215029,0.2664541497182044,0.12190755566895241,0.04285464521905191,0.0038006779722884174
2019,COG,"Congo, Rep.",0.5181137306096232,0.28274209999658023,0.1547591080686865,0.04150466201679248,0.002880399308317585
2019,COL,Colombia,0.3114935737369998,0.32670683304938436,0.23410642426059422,0.10957012376954588,0.018123045183475708
2019,COM,Comoros,0.49598597235133524,0.30824277140080225,0.14541110436001792,0.0465288738510573,0.0038312780367873206
2019,CPV,Cabo Verde,0.37295976259055597,0.3557468505426086,0.19791575746996015,0.060938000058188585,0.012439629338686684
2019,CRI,Costa Rica,0.28387393436156594,0.3262322139346112,0.24498049652099302,0.12353748671883312,0.02137586846399677
2019,CSS,Caribbean small states,0.31590686276530744,0.3142348241920221,0.23731294180118423,0.11368185724773133,0.0188635139937549
